OBJECTID,COD_SIG,COD_VIA,COD_CICLOVIA,DESIGNACAO,NOME_PROJETO,HIERARQUIA,EIXO,TIPOLOGIA,NIVEL_SEGREGACAO,TIPO_INTERVENCAO,SITUACAO,ANO,ENTIDADE_RESPONSAVEL,FREGUESIA,COMP_M,COMP_KM,IDTIPO,ZONAMENTO,GlobalID,Shape__Length
130229,155527,67041,0668,Rua Latino Coelho,Rua Latino Coelho e Rua Doutor António Cândido,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2017,CML,Avenidas Novas,31.79,0.03178946,9196,Avenidas Novas,45d16093-e026-4803-b7dc-7567b5f7d65e,40.7229354603004
130230,0000382,66803,0479,Avenida da República,Rotunda de Entrecampos,Principal,Central,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Avenidas Novas,10.2,0.01019964,9196,Eixo Central,b1aa1285-8947-4550-9eff-3ccd33740171,13.1112292508039
130231,0000725,,0099,BTT/Trail 1,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Benfica,1629.5,1.62950245,9196,Monsanto,2145735d-bad8-4d37-ad27-a41b4dce3de8,2090.84566850384
130232,0000726,,0099,BTT/Trail 1,,Local,,Trilho,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,São Domingos de Benfica,27.84,0.02783952,9196,Monsanto,a389d960-fa71-4b28-b0ef-87716c0a704f,35.6681218211334
130240,0000485,33395,0008,Avenida Paulo VI,Avenida Paulo VI,Complementar,,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Marvila,229.78,0.22977865,9196,,fca881d9-9677-4b3e-9c1d-16036ae166ca,294.86542743193
130242,4742,67399,0291,Rua Filipe da Mata,Rua Filipe da Mata,Local,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2018,CML/DMM,Avenidas Novas,100.38,0.10037891,9196,Bairro Santos,b1bdcfcc-40ff-4144-b50c-920c123aa06e,128.515438133485
130249,0000697,66931,0073,Avenida Almirante Reis,Avenida Almirante Reis - Fase 2,Principal,Baixa - Aeroporto,Pista Ciclável Unidirecional,Pista ciclável (separação física),Provisória,Executado,2022,CML/DMM; CML/DMMC/DIOA,Areeiro,30.74,0.0307429,9196,,cdb94f56-3e0e-4c5e-ba94-f9432c13f37f,39.5179433336008
130253,0000160,67144,0657,Estrada das Laranjeiras,UPCB - Requalificação Praça Marechal Humberto Delgado - Sete Rios,Complementar,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMU/DEP; CML/DMMC/DIOA,São Domingos de Benfica,203.52,0.20352404,9196,Sete Rios,867083d3-cf21-4494-9870-deda29bb8a04,261.211259322942
130255,17411,5968,0524,Passeio dos Heróis do Mar,,Local,,Percurso Ciclopedonal,Via banalizada (coexistência),Definitiva,Executado,Sem dados,CML,Parque das Nações,22.3,0.02230037,9196,Frente Ribeirinha,29a101b9-35fc-4443-b829-f0e7cc4b54fa,28.6728301364179
130257,0000165,67028,0648,Rua Dr. Nicolau de Bettencourt,Largo de São Sebastião,Complementar,,30+Bici,Via banalizada (coexistência),Definitiva,Executado,2024,CML/DMU/DEP; SRU,Avenidas Novas,109.65,0.10965337,9196,Avenidas Novas,9a8a31b3-b662-4eea-8469-47df92ee39a7,140.74848887973
130262,0000528,462,0685,Avenida Infante Dom Henrique,Avenida Infante Dom Henrique (Terminal de Cruzeiros - Estação de Santa Apolónia),Principal,Marginal,Pista Ciclável Bidirecional,Pista ciclável (separação física),Provisória,Executado,2020,EMEL,Santa Maria Maior,160.88,0.16088045,9196,Frente Ribeirinha,f210eb6a-91dc-437c-9b00-aa97f6866acf,206.389850723737
130265,0000024,,0149,Alameda Manuel Ricardo Espírito Santo,UPCB - Alameda Manuel Ricardo Espírito Santo,Local,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2018,CML/DMU/DEP,Benfica,279.37,0.27937204,9196,,7a872cef-386e-4bf0-81f6-d27dec97eb21,358.745457889808
130266,0000469,100031,0479,Campo Grande,Rotunda de Entrecampos,Principal,Central,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Alvalade,16.94,0.01694485,9196,Eixo Central,d698471c-4361-49c3-97b8-54617f6c3cb7,21.6993969814386
130273,0000383,67033,0255,Praça do Duque de Saldanha,Eixo Central,Principal,Central,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMU/DEP,Avenidas Novas,138.51,0.13851024,9196,Eixo Central,0741bc14-970c-4174-9af3-b006b2f75822,177.74987093557
130274,0000028,,0100,Parque hortícola do Vale de Chelas - Parque Vale Fundão,Corredor Verde Oriental - Prolongamento da pista ciclável de ligação entre o Parque Horticola do Vale de Chelas e o Parque Vale Fundão,Complementar,,Pista Ciclável Bidirecional,Pista ciclável (separação física),Definitiva,Executado,2017,CML/DMEVAE,Marvila,668.4,0.66840109,9196,,c8534f03-c6bf-4f9c-aad0-d6194811b77d,834.065082699588
